Acceleration of the long read mapping on a PC-FPGA architecture (abstract only).	Peng Chen 0004,Chao Wang 0003,Xi Li 0003,Xuehai Zhou	10.1145/2435264.2435329
Accelerating subsequence similarity search based on dynamic time warping distance with FPGA.	Zilong Wang,Sitao Huang,Lanjun Wang,Hao Li,Yu Wang 0002,Huazhong Yang	10.1145/2435264.2435277
An FPGA based parallel architecture for music melody matching.	Hao Wang,Jyh-Charn Liu	10.1145/2435264.2435305
Custom instruction generation and mapping for reconfigurable instruction set processors (abstract only).	Chao Wang 0003,Xi Li 0003,Huizhen Zhang,Jinsong Ji,Xuehai Zhou	10.1145/2435264.2435318
Genome sequencing using mapreduce on FPGA with multiple hardware accelerators (abstract only).	Chao Wang 0003,Xi Li 0003,Xuehai Zhou,Jim Martin 0001,Ray C. C. Cheung	10.1145/2435264.2435313
Automatic multidimensional memory partitioning for FPGA-based accelerators (abstract only).	Yuxin Wang,Peng Li 0031,Peng Zhang 0007,Chen Zhang 0001,Jason Cong	10.1145/2435264.2435321
Low power FPGA design using post-silicon device aging (abstract only).	Sheng Wei 0001,Jason Xin Zheng,Miodrag Potkonjak	10.1145/2435264.2435340
C-to-CoRAM: compiling perfect loop nests to the portable CoRAM abstraction.	Gabriel Weisz,James C. Hoe	10.1145/2435264.2435302
A remote memory access infrastructure for global address space programming models in FPGAs.	Ruediger Willenberg,Paul Chow	10.1145/2435264.2435301
Placement of repair circuits for in-field FPGA repair.	Michael J. Wirthlin,Joshua E. Jensen,Alex Wilson,William Howes,Shi-Jie Wen,Rick Wong	10.1145/2435264.2435286
Indirect connection aware attraction for FPGA clustering (abstract only).	Meng Yang 0013,Jiarong Tong,A. E. A. Almaini	10.1145/2435264.2435310
High performance architecture for object detection in streamed video (abstract only).	Pavel Zemcík,Roman Juránek,Petr Musil,Martin Musil,Michal Hradis	10.1145/2435264.2435319
A novel FPGA design framework with VLSI post-routing performance analysis (abstract only).	Qian Zhao 0001,Kazuki Inoue,Motoki Amagasaki,Masahiro Iida,Morihiro Kuga,Toshinori Sueyoshi	10.1145/2435264.2435327
Precision fault injection method based on correspondence between configuration bitstream and architecture (abstract only).	Jing Zhou,Lei Chen 0010,Shuo Wang	10.1145/2435264.2435317
A novel multithread routing method for FPGAs (abstract only).	Chun Zhu,Qiuli Li,Jian Wang 0036,Jinmei Lai	10.1145/2435264.2435322
Sensing nanosecond-scale voltage attacks and natural transients in FPGAs.	Kenneth M. Zick,Meeta Srivastav,Wei Zhang 0044,Matthew French	10.1145/2435264.2435283
Improving high level synthesis optimization opportunity through polyhedral transformations.	Wei Zuo,Yun Liang 0001,Peng Li 0031,Kyle Rupnow,Deming Chen,Jason Cong	10.1145/2435264.2435271
The 2013 ACM/SIGDA International Symposium on Field Programmable Gate Arrays, FPGA &apos;13, Monterey, CA, USA, February 11-13, 2013	Brad L. Hutchings,Vaughn Betz	10.1145/2435264
